Type,Lat,Long,Buckets
Warehouses,-17.8237,48.4263,26
Warehouses,-20.5167,47.25,41
Warehouses,-18.9085,47.5375,9046
Warehouses,-17.3843,49.4098,2762
Warehouses,-16.9167,49.9,1682
Warehouses,-15.4309,49.7583,1870
Warehouses,-16.1702,49.7741,0
Warehouses,-16.9261,49.5871,375
Warehouses,-25.17613271,46.08937803,2322
Warehouses,-25.0316,46.99,0
Warehouses,-24.2064,45.8658,610
Warehouses,-23.35,43.6667,1027
Warehouses,-23.4522,45.0781,0
Warehouses,-23.42605,47.05908,1870
Warehouses,-22.8167,47.8167,3331
Warehouses,-23.3505,47.6088,0
Warehouses,-18.1499,49.4023,1580
Warehouses,-16.9504,46.8281,0
Warehouses,-15.7167,46.3167,150
Warehouses,-13.6804,48.4555,375
Warehouses,-18.9608,46.9036,3
Warehouses,-18.0646,44.0295,2460
Warehouses,-20.2847,44.3175,736
Warehouses,-14.8833,50.2833,5700
Warehouses,-14.2667,50.1667,0
Warehouses,-14.8762,47.9835,610
Warehouses,-22.15,48,4235
